CustomerName,CustomerRegion,CustomerCountry,EmployeeName,EmployeeCity,EmployeeCountry,TerritoryDescription,RegionDescription,ManagerName,OrderDate,ShipperName,CategoryName,ProductName,SupplierName,SupplierRegion,SupplierCountry,UnitPrice,Quantity,Discount
Around the Horn,,UK,Michael Suyama,London,UK,"Phoenix                                           ","Western                                           ",Steven Buchanan,2019-11-01,Speedy Express,Beverages,Guaraná Fantástica,Refrescos Americanas LTDA,,Brazil,3.60,25,0.00
Around the Horn,,UK,Michael Suyama,London,UK,"Phoenix                                           ","Western                                           ",Steven Buchanan,2019-11-01,Speedy Express,Grains/Cereals,Ravioli Angelo,Pasta Buttini s.r.l.,,Italy,15.60,25,0.00
Around the Horn,,UK,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-02-01,United Package,Beverages,Outback Lager,"Pavlova, Ltd.",Victoria,Australia,12.00,25,0.10
Around the Horn,,UK,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-02-01,United Package,Confections,Chocolade,Zaanse Snoepfabriek,,Netherlands,10.20,15,0.10
Around the Horn,,UK,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-06-01,United Package,Confections,Zaanse koeken,Zaanse Snoepfabriek,,Netherlands,9.50,25,0.00
Around the Horn,,UK,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-06-01,United Package,Grains/Cereals,Filo Mix,"G'day, Mate",NSW,Australia,7.00,30,0.00
Around the Horn,,UK,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-06-01,United Package,Meat/Poultry,Perth Pasties,"G'day, Mate",NSW,Australia,32.80,18,0.00
Around the Horn,,UK,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-06-01,United Package,Produce,Manjimup Dried Apples,"G'day, Mate",NSW,Australia,53.00,20,0.00
Around the Horn,,UK,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-06-01,United Package,Seafood,Röd Kaviar,Svensk Sjöföda AB,,Sweden,15.00,3,0.00
Around the Horn,,UK,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-11-01,United Package,Seafood,Spegesild,Lyngbysild,,Denmark,12.00,28,0.05
Berglunds snabbköp,,Sweden,Andrew Fuller,Tacoma,USA,"Westboro                                          ","Eastern                                           "," ",2019-08-01,Speedy Express,Beverages,Guaraná Fantástica,Refrescos Americanas LTDA,,Brazil,3.60,12,0.00
Berglunds snabbköp,,Sweden,Andrew Fuller,Tacoma,USA,"Westboro                                          ","Eastern                                           "," ",2019-08-01,Speedy Express,Beverages,Rhönbräu Klosterbier,Plutzer Lebensmittelgroßmärkte AG,,Germany,6.20,30,0.00
Berglunds snabbköp,,Sweden,Andrew Fuller,Tacoma,USA,"Westboro                                          ","Eastern                                           "," ",2019-08-01,Speedy Express,Meat/Poultry,Pâté chinois,Ma Maison,Québec,Canada,19.20,20,0.00
Berglunds snabbköp,,Sweden,Anne Dodsworth,London,UK,"Hollis                                            ","Northern                                          ",Steven Buchanan,2020-09-01,United Package,Beverages,Côte de Blaye,Aux joyeux ecclésiastiques,,France,263.50,15,0.10
Berglunds snabbköp,,Sweden,Anne Dodsworth,London,UK,"Hollis                                            ","Northern                                          ",Steven Buchanan,2020-09-01,United Package,Dairy Products,Flotemysost,Norske Meierier,,Norway,21.50,12,0.00
Berglunds snabbköp,,Sweden,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2019-12-01,Federal Shipping,Confections,Sir Rodney's Marmalade,"Specialty Biscuits, Ltd.",,UK,64.80,28,0.00
Berglunds snabbköp,,Sweden,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2019-12-01,Federal Shipping,Dairy Products,Camembert Pierrot,Gai pâturage,,France,27.20,15,0.00
Berglunds snabbköp,,Sweden,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-02-01,Federal Shipping,Beverages,Steeleye Stout,Bigfoot Breweries,OR,USA,14.40,8,0.00
Berglunds snabbköp,,Sweden,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-02-01,Federal Shipping,Confections,Gumbär Gummibärchen,Heli Süßwaren GmbH & Co. KG,,Germany,24.90,15,0.00
Berglunds snabbköp,,Sweden,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-02-01,Federal Shipping,Meat/Poultry,Alice Mutton,"Pavlova, Ltd.",Victoria,Australia,31.20,10,0.00
Berglunds snabbköp,,Sweden,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-02-01,Federal Shipping,Seafood,Jack's New England Clam Chowder,New England Seafood Cannery,MA,USA,7.70,30,0.00
Berglunds snabbköp,,Sweden,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-02-01,Speedy Express,Beverages,Chartreuse verte,Aux joyeux ecclésiastiques,,France,14.40,6,0.00
Berglunds snabbköp,,Sweden,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-02-01,Speedy Express,Meat/Poultry,Tourtière,Ma Maison,Québec,Canada,5.90,15,0.00
Berglunds snabbköp,,Sweden,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-06-01,United Package,Beverages,Rhönbräu Klosterbier,Plutzer Lebensmittelgroßmärkte AG,,Germany,7.75,15,0.10
Berglunds snabbköp,,Sweden,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-06-01,United Package,Confections,Pavlova,"Pavlova, Ltd.",Victoria,Australia,17.45,12,0.10
Berglunds snabbköp,,Sweden,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-06-01,United Package,Dairy Products,Mascarpone Fabioli,Formaggi Fortini s.r.l.,,Italy,32.00,10,0.10
Berglunds snabbköp,,Sweden,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-06-01,United Package,Seafood,Boston Crab Meat,New England Seafood Cannery,MA,USA,18.40,50,0.00
Berglunds snabbköp,,Sweden,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-12-01,Speedy Express,Seafood,Jack's New England Clam Chowder,New England Seafood Cannery,MA,USA,9.65,10,0.00
Berglunds snabbköp,,Sweden,Laura Callahan,Seattle,USA,"Philadelphia                                      ","Northern                                          ",Andrew Fuller,2019-08-01,United Package,Condiments,Gula Malacca,Leka Trading,,Singapore,15.50,16,0.00
Berglunds snabbköp,,Sweden,Laura Callahan,Seattle,USA,"Philadelphia                                      ","Northern                                          ",Andrew Fuller,2019-08-01,United Package,Condiments,Vegie-spread,"Pavlova, Ltd.",Victoria,Australia,35.10,8,0.00
Berglunds snabbköp,,Sweden,Laura Callahan,Seattle,USA,"Philadelphia                                      ","Northern                                          ",Andrew Fuller,2019-08-01,United Package,Dairy Products,Raclette Courdavault,Gai pâturage,,France,44.00,15,0.00
Berglunds snabbköp,,Sweden,Laura Callahan,Seattle,USA,"Philadelphia                                      ","Northern                                          ",Andrew Fuller,2019-08-01,United Package,Seafood,Röd Kaviar,Svensk Sjöföda AB,,Sweden,12.00,25,0.00
Berglunds snabbköp,,Sweden,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-05-01,United Package,Beverages,Ipoh Coffee,Leka Trading,,Singapore,46.00,60,0.00
Berglunds snabbköp,,Sweden,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-05-01,United Package,Meat/Poultry,Tourtière,Ma Maison,Québec,Canada,7.45,15,0.00
Berglunds snabbköp,,Sweden,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-05-01,United Package,Seafood,Ikura,Tokyo Traders,,Japan,31.00,2,0.00
Berglunds snabbköp,,Sweden,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-05-01,United Package,Seafood,Nord-Ost Matjeshering,Nord-Ost-Fisch Handelsgesellschaft mbH,,Germany,25.89,10,0.00
Berglunds snabbköp,,Sweden,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-08-01,United Package,Dairy Products,Camembert Pierrot,Gai pâturage,,France,34.00,20,0.00
Berglunds snabbköp,,Sweden,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-08-01,United Package,Dairy Products,Flotemysost,Norske Meierier,,Norway,21.50,20,0.00
Berglunds snabbköp,,Sweden,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-08-01,United Package,Meat/Poultry,Perth Pasties,"G'day, Mate",NSW,Australia,32.80,12,0.00
Berglunds snabbköp,,Sweden,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-10-01,United Package,Beverages,Chai,Exotic Liquids,,UK,18.00,35,0.25
Berglunds snabbköp,,Sweden,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-11-01,Federal Shipping,Grains/Cereals,Filo Mix,"G'day, Mate",NSW,Australia,7.00,25,0.00
Berglunds snabbköp,,Sweden,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-11-01,Federal Shipping,Produce,Rössle Sauerkraut,Plutzer Lebensmittelgroßmärkte AG,,Germany,45.60,20,0.00
Berglunds snabbköp,,Sweden,Nancy Davolio,Seattle,USA,"Wilton                                            ","Eastern                                           ",Andrew Fuller,2020-11-01,Federal Shipping,Produce,Tofu,Mayumi's,,Japan,23.25,16,0.00
Berglunds snabbköp,,Sweden,Steven Buchanan,London,UK,"Providence                                        ","Eastern                                           ",Andrew Fuller,2020-09-01,Speedy Express,Beverages,Chartreuse verte,Aux joyeux ecclésiastiques,,France,18.00,20,0.10
Berglunds snabbköp,,Sweden,Steven Buchanan,London,UK,"Providence                                        ","Eastern                                           ",Andrew Fuller,2020-09-01,Speedy Express,Condiments,Chef Anton's Cajun Seasoning,New Orleans Cajun Delights,LA,USA,22.00,12,0.10
Berglunds snabbköp,,Sweden,Steven Buchanan,London,UK,"Providence                                        ","Eastern                                           ",Andrew Fuller,2020-09-01,Speedy Express,Meat/Poultry,Tourtière,Ma Maison,Québec,Canada,7.45,6,0.10
Blauer See Delikatessen,,Germany,Anne Dodsworth,London,UK,"Hollis                                            ","Northern                                          ",Steven Buchanan,2020-04-01,Federal Shipping,Meat/Poultry,Tourtière,Ma Maison,Québec,Canada,7.45,20,0.00
Blauer See Delikatessen,,Germany,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-06-01,United Package,Beverages,Lakkalikööri,Karkki Oy,,Finland,18.00,14,0.00
Blauer See Delikatessen,,Germany,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-06-01,United Package,Grains/Cereals,Ravioli Angelo,Pasta Buttini s.r.l.,,Italy,19.50,4,0.00
Blauer See Delikatessen,,Germany,Laura Callahan,Seattle,USA,"Philadelphia                                      ","Northern                                          ",Andrew Fuller,2020-07-01,Federal Shipping,Beverages,Chartreuse verte,Aux joyeux ecclésiastiques,,France,18.00,5,0.00
Blauer See Delikatessen,,Germany,Laura Callahan,Seattle,USA,"Philadelphia                                      ","Northern                                          ",Andrew Fuller,2020-07-01,Federal Shipping,Confections,Sir Rodney's Scones,"Specialty Biscuits, Ltd.",,UK,10.00,8,0.00
Blauer See Delikatessen,,Germany,Laura Callahan,Seattle,USA,"Philadelphia                                      ","Northern                                          ",Andrew Fuller,2020-07-01,Federal Shipping,Dairy Products,Queso Cabrales,Cooperativa de Quesos 'Las Cabras',Asturias,Spain,21.00,14,0.00
Blauer See Delikatessen,,Germany,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2020-04-01,Speedy Express,Produce,Rössle Sauerkraut,Plutzer Lebensmittelgroßmärkte AG,,Germany,45.60,3,0.00
Blondesddsl père et fils,,France,Andrew Fuller,Tacoma,USA,"Westboro                                          ","Eastern                                           "," ",2019-07-01,Speedy Express,Beverages,Outback Lager,"Pavlova, Ltd.",Victoria,Australia,12.00,20,0.00
Blondesddsl père et fils,,France,Andrew Fuller,Tacoma,USA,"Westboro                                          ","Eastern                                           "," ",2019-07-01,Speedy Express,Meat/Poultry,Alice Mutton,"Pavlova, Ltd.",Victoria,Australia,31.20,30,0.00
Blondesddsl père et fils,,France,Anne Dodsworth,London,UK,"Hollis                                            ","Northern                                          ",Steven Buchanan,2020-06-01,Speedy Express,Beverages,Lakkalikööri,Karkki Oy,,Finland,18.00,10,0.00
Blondesddsl père et fils,,France,Anne Dodsworth,London,UK,"Hollis                                            ","Northern                                          ",Steven Buchanan,2020-06-01,Speedy Express,Dairy Products,Queso Cabrales,Cooperativa de Quesos 'Las Cabras',Asturias,Spain,21.00,35,0.15
Blondesddsl père et fils,,France,Anne Dodsworth,London,UK,"Hollis                                            ","Northern                                          ",Steven Buchanan,2020-06-01,Speedy Express,Seafood,Carnarvon Tigers,"Pavlova, Ltd.",Victoria,Australia,62.50,18,0.15
Blondesddsl père et fils,,France,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-02-01,United Package,Beverages,Rhönbräu Klosterbier,Plutzer Lebensmittelgroßmärkte AG,,Germany,6.20,24,0.10
Blondesddsl père et fils,,France,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-02-01,United Package,Confections,Tarte au sucre,Forêts d'érables,Québec,Canada,39.40,35,0.00
Blondesddsl père et fils,,France,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-02-01,United Package,Grains/Cereals,Filo Mix,"G'day, Mate",NSW,Australia,5.60,20,0.00
Blondesddsl père et fils,,France,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-02-01,United Package,Grains/Cereals,Gnocchi di nonna Alice,Pasta Buttini s.r.l.,,Italy,30.40,40,0.10
Blondesddsl père et fils,,France,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-02-01,United Package,Grains/Cereals,Wimmers gute Semmelknödel,Plutzer Lebensmittelgroßmärkte AG,,Germany,26.60,30,0.10
Blondesddsl père et fils,,France,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-02-01,United Package,Seafood,Ikura,Tokyo Traders,,Japan,24.80,14,0.00
Blondesddsl père et fils,,France,Janet Leverling,Kirkland,USA,"Atlanta                                           ","Southern                                          ",Andrew Fuller,2020-02-01,United Package,Seafood,Spegesild,Lyngbysild,,Denmark,9.60,5,0.00
Blondesddsl père et fils,,France,Laura Callahan,Seattle,USA,"Philadelphia                                      ","Northern                                          ",Andrew Fuller,2020-09-01,Federal Shipping,Dairy Products,Raclette Courdavault,Gai pâturage,,France,55.00,12,0.00
Blondesddsl père et fils,,France,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2019-11-01,Federal Shipping,Beverages,Côte de Blaye,Aux joyeux ecclésiastiques,,France,210.80,10,0.00
Blondesddsl père et fils,,France,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2019-11-01,Federal Shipping,Confections,Maxilaku,Karkki Oy,,Finland,16.00,35,0.00
Blondesddsl père et fils,,France,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2019-11-01,Federal Shipping,Meat/Poultry,Thüringer Rostbratwurst,Plutzer Lebensmittelgroßmärkte AG,,Germany,99.00,35,0.00
Blondesddsl père et fils,,France,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2019-11-01,Federal Shipping,Meat/Poultry,Tourtière,Ma Maison,Québec,Canada,5.90,28,0.00
Blondesddsl père et fils,,France,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2019-11-01,Federal Shipping,Produce,Rössle Sauerkraut,Plutzer Lebensmittelgroßmärkte AG,,Germany,36.40,30,0.00
Blondesddsl père et fils,,France,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2020-06-01,Speedy Express,Dairy Products,Gorgonzola Telino,Formaggi Fortini s.r.l.,,Italy,12.50,50,0.05
Blondesddsl père et fils,,France,Margaret Peacock,Redmond,USA,"Rockville                                         ","Eastern                                           ",Andrew Fuller,2020-08-01,Federal Shipping,Beverages,Chai,Exotic Liquids,,UK,18.00,25,0.00
Blondesddsl père et fils,,France,Michael Suyama,London,UK,"Phoenix                                           ","Western                                           ",Steven Buchanan,2020-06-01,Speedy Express,Meat/Poultry,Pâté chinois,Ma Maison,Québec,Canada,24.00,18,0.05
Blondesddsl père et fils,,France,Michael Suyama,London,UK,"Phoenix                                           ","Western                                           ",Steven Buchanan,2020-06-01,Speedy Express,Seafood,Jack's New England Clam Chowder,New England Seafood Cannery,MA,USA,9.65,12,0.05
Blondesddsl père et fils,,France,Steven Buchanan,London,UK,"Providence                                        ","Eastern                                           ",Andrew Fuller,2019-09-01,United Package,Beverages,Chartreuse verte,Aux joyeux ecclésiastiques,,France,14.40,60,0.00
Blondesddsl père et fils,,France,Steven Buchanan,London,UK,"Providence                                        ","Eastern                                           ",Andrew Fuller,2019-09-01,United Package,Dairy Products,Mozzarella di Giovanni,Formaggi Fortini s.r.l.,,Italy,27.80,20,0.00
